animeTitle	b'Jaku-Chara Tomozaki-kun'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.18
animeUsers	111598
animeRank	
animePopularity	
animeDescription	"b'Fumiya Tomozaki is Japan\'s best player in the online game Attack Families, commonly known as ""Tackfam."" Despite holding such a revered title, a lack of social skills and amiability causes him to fall short in his everyday high school life. Failing to have any friends, he blames the convoluted mechanics and unfair rules of life, forcing him to give up and proclaim himself a bottom-tier character in this ""game.""\n\nAfter a fateful meeting with another top-tier Tackfam player, Fumiya is shocked to discover the player\'s true identity\xe2\x80\x94Aoi Hinami, a popular, smart, and sociable classmate who is the complete opposite of himself. Aoi, surprised at how inept Fumiya is at everything besides Tackfam, decides to assist him in succeeding in what she calls the greatest game of them all. Through the gruesome ordeals of social interactions and relationships, Fumiya begins to advance tiers in the glorious game of life.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Jaku-Chara Tomozaki-kun', b'Jaku-Chara Tomozaki-kun Specials']
animeCharacters	[b'Hinami, Aoi', b'Tomozaki, Fumiya', b'Nanami, Minami', b'Kikuchi, Fuuka', b'Izumi, Yuzu', b'Natsubayashi, Hanabi', b'Mizusawa, Takahiro', b'Nakamura, Shuuji', b'Takei']
animeVoices	[b'\nKanemoto, Hisako\nJapanese\n', b'\nSatou, Gen\nJapanese\n', b'\nHasegawa, Ikumi\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nHieda, Nene\nJapanese\n', b'\nMaekawa, Ryouko\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nMizuno, Shuntarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYanagi, Shinsuke\n\nDirector\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nDIALOGUE+\n\nTheme Song Performance\n\n', b'\nFly\n\nOriginal Character Design\n\n']
