animeTitle	Senryuu Shoujo
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.4
animeUsers	63135
animeRank	
animePopularity	1174
animeDescription	"To the students of Karai High School, Nanako Yukishiro is a pretty, calm, and cute 16-year-old. However, Nanako is no ordinary girl, as she cannot speak! Instead, Nanako communicates through senryuu—17-syllable-long poems. 

Sixteen-year-old Eiji Busujima used to be delinquent in his middle school years. However, he has since turned over a new leaf due to his newfound love of senryuu. Despite his menacing looks, Eiji gets along well with Nanako as a fellow member of the Literature Club.

Even though Nanako is mute, the adorable pair have no problem communicating with each other. Senryuu Shoujo is a light and relaxing story of two teenagers' daily lives.

[Written by MAL Rewrite]
"
animeRelated	['Senryuu Shoujo']
animeCharacters	['Yukishiro, Nanako', 'Busujima, Eiji', 'Katagiri, Amane', 'Yakobe, Kino', 'Hanakai, Tao', 'Ootsuki, Koto', 'Yukishiro, Yoshihiko', 'Busujima, Akira']
animeVoices	['Hanazawa, Kana', 'Hatanaka, Tasuku', 'Yahagi, Sayuri', 'Kuno, Misaki', 'Uesaka, Sumire', 'Aida, Rikako', 'Iwata, Mitsuo']
animeStaff	[['Jinbo, Masato', 'Director, Series Composition'], ['Tsuchiya, Masaki', 'Sound Director'], ['Aida, Rikako', 'Theme Song Performance'], ['Tateyama, Akiyuki', 'Music']]
