animeTitle	Genji Tsuushin Agedama
animeType	TV
animeNumEpisode	51
releaseDate	1991-10-04 00:00:00
endDate	1992-09-25 00:00:00
animeNumMembers	1183
animeScore	6.29
animeUsers	145
animeRank	7243
animePopularity	10722
animeDescription	"Agedama is a small boy going to elementary school and having the usual problems for a boy of his age. He is also secretly a superhero-in-training (called ""Agedaman""). Along with Wapuro, his floating computer companion, he fights against a criminal organization who can turn humans into monsters of various types. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Kuki, Rei', 'Heike, Ibuki', 'Genji, Agedama', 'Ihab', 'Tanaka', 'Goldfish Scooping Stall Owner', 'Kodama, Heike', 'Yumenokouji, Hikari', 'Kuki, Raizou']
animeVoices	['Tamagawa, Sakiko', 'Mitsuishi, Kotono', 'Sasaki, Nozomu', 'Hayashibara, Megumi', 'Takagi, Wataru', 'Cho', 'Ootani, Ikue', 'Yamaguchi, Kappei', 'Takiguchi, Junpei']
animeStaff	[['Sakurai, Hiroaki', 'Episode Director'], ['Tsuji, Hatsuki', 'Episode Director, Storyboard, Chief Animation Director, Character Design, Animation Director'], ['Komura, Toshiaki', 'Episode Director, Storyboard'], ['Tomita, Sukehiro', 'Script, Original Creator']]
