animeTitle	Shuuen no Shiori
animeType	Music
animeNumEpisode	1
releaseDate	2013-08-09 00:00:00
endDate	
animeNumMembers	235
animeScore	
animeUsers	
animeRank	13383
animePopularity	15577
animeDescription	Music video of Shuuen no Shiori published originally online on Niconico, whose song was included in Shuuen –Re:write- CD. 
animeRelated	[]
animeCharacters	['A-ya', 'C-ta', 'D-ne', 'B-ko']
animeVoices	['Touyama, Nao']
animeStaff	[]
