animeTitle	Maid Ane
animeType	OVA
animeNumEpisode	2
releaseDate	2011-08-19 00:00:00
endDate	2011-12-16 00:00:00
animeNumMembers	3404
animeScore	6.12
animeUsers	1240
animeRank	
animePopularity	8070
animeDescription	"One day Yuuta comes home to find his childhood friend Akie has returned to his country village. Akie works as a maid in Tokyo and Yuuta begins thinking of her in a whole different light.

(Source: ANN)"
animeRelated	['Maid Ane']
animeCharacters	['Akie', 'Yuuta']
animeVoices	[]
animeStaff	[['Maguro, Teikoku', 'Original Creator'], ['Tsubone, Kentarou', 'Editing']]
