animeTitle	Hana to Mogura
animeType	Movie
animeNumEpisode	1
releaseDate	1970-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.59
animeUsers	220
animeRank	
animePopularity	13171
animeDescription	"Hanako-chan, a flower loving person, encounters a mole in her garden and wonders what would happen if the moles could be trained to assist in gardening. Then her idea goes with the wind... 

(Source: AniDB) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
