animeTitle	Tensai Bakabon
animeType	TV
animeNumEpisode	40
releaseDate	1971-09-25 00:00:00
endDate	1972-06-24 00:00:00
animeNumMembers	
animeScore	6.38
animeUsers	245
animeRank	
animePopularity	11212
animeDescription	"Tensai Bakabon is the tale of a child prodigy and his ""philosophical"" father. Bakabon‘s father has his own philosophy and he leaves no stone unturned in his quest for answers. Despite his ability to trouble Trouble, for some reason, Papa Bakabon is regarded as ""The Great Philosopher,"" and is sought after for advice, which of course ends up in disastrous results. Tensai Bakabon joins his father in his philosophical quests which drives the people in their town crazy.

(Source: Animation Xpress)"
animeRelated	['Tensai Bakabon', 'Ganso Tensai Bakabon']
animeCharacters	['Bakabon no Papa', 'Rerere no Ojisan', 'Bakabon', 'Hajime-chan', 'Bakabon no Mama', 'Unagi-Inu', 'Omawari-san']
animeVoices	['Amenomori, Masashi', 'Saikachi, Ryuuji', 'Yamamoto, Keiko', 'Sasuga, Takako', 'Masuyama, Eiko', 'Tanonaka, Isamu']
animeStaff	[['Saitou, Hiroshi', 'Director'], ['Hoshiyama, Hiroyuki', 'Script'], ['Tsuji, Masaki', 'Script'], ['Matsuyama, Yuushi', 'Theme Song Arrangement']]
