animeTitle	Flag
animeType	ONA
animeNumEpisode	13
releaseDate	2006-06-16 00:00:00
endDate	2007-03-02 00:00:00
animeNumMembers	18177
animeScore	7.19
animeUsers	3667
animeRank	2935
animePopularity	4174
animeDescription	"In 20xx, a civil war broke out in a small country in Asia in spite of the dispatch of UN forces. But a picture taken by accident in the battlefield accelerates the peace process: a photograph of a flag, which became the symbol of peace. However, just before the peace agreement is finalized, the flag is stolen by an armed extremist group in order to obstruct the truce. To rescue the flag, the UN sends the Special Development Command (SDC, which is armed with the High Agility Versatile Weapon Carrier (HAVWC)), along with an embedded photojournalist to record their activities. That photojournalist is Saeko Shirasu—the young camerawoman who took the picture of the flag.

 (Source: ANN)"
animeRelated	"[""Flag Director's Edition: Issenman no Kufura no Kiroku""]"
animeCharacters	['Shirasu, Saeko', 'Akagi, Keiichi ', 'Eversalt, Chris', 'Nikkanen, Jan', 'Paint Engineer ', 'Chief', 'Kufura ', 'Hacker', 'Lisa', 'Captain']
animeVoices	['Tanaka, Rena', 'Ishizuka, Unshou', 'Hidaka, Narumi', 'Nomura, Kenji', 'Orikasa, Fumiko', 'Kobayashi, Sanae']
animeStaff	[['Takahashi, Ryousuke', 'Director, Script, Original Creator'], ['Terada, Kazuo', 'Director, Script'], ['Momose, Keiichi', 'Sound Director'], ['Nozaki, Tooru', 'Script, Series Composition']]
