animeTitle	Nihon Animator Mihonichi
animeType	ONA
animeNumEpisode	35
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	8940
animeRank	
animePopularity	3074
animeDescription	"Nihon Animator Mihonichi is a collaborative series of standalone anime shorts with the support of various directors and studios. Aiming to expose new animators to a worldwide audience, these small works offer a glimpse into the future of the industry, featuring rising talents, cutting-edge techniques, and experimental aesthetic designs.

[Written by MAL Rewrite]"
animeRelated	['Bikachou Shinshi Kaikoroku', 'Ochibi-san', 'Neon Genesis Evangelion', 'Mobile Suit Gundam', 'The☆Ultraman', 'Evangelion: 3.0 You Can (Not) Redo', 'Uchuu Patrol Luluco', 'Ryuu no Haisha', 'Evangelion: Another Impact (VR)']
animeCharacters	['Kishii, Nonoko', 'Hana-chan', 'Obake-chan', 'Shuu-chan', 'Godou, Yotoshio', 'Secchan', 'Machspeed', 'Girl', 'Hinako', 'Yuuri']
animeVoices	['Hayashibara, Megumi', 'Yamadera, Kouichi']
animeStaff	[['Yoshiura, Yasuhiro', 'Producer, Director, Script, Storyboard, Editing, Director of Photography, Layout, Original Creator'], ['Itano, Ichirou', 'Producer, Key Animation'], ['Aramaki, Shinji', 'Producer, Director'], ['Imaishi, Hiroyuki', 'Director, Script, Storyboard, Key Animation, Original Creator']]
