animeTitle	Higurashi no Naku Koro ni Kira
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	39409
animeRank	
animePopularity	1912
animeDescription	"With things such as story out of the way, Higurashi cranks up the fanservice with Kira, a new OVA series to commemorate the series' 10th anniversary, featuring nail-biting situations such as Rika and Satoko becoming magical girls to battle evil magic crime syndicates with the help of their trusty squad of cheerleaders, among other things.

The excitement may be too much to handle. Do you dare step inside the... ""different"" world of Higurashi no Naku Koro ni Kira?"
animeRelated	['Higurashi no Naku Koro ni']
animeCharacters	['Furude, Rika', 'Ryuuguu, Rena', 'Sonozaki, Shion', 'Sonozaki, Mion', 'Maebara, Keiichi', 'Hanyuu', 'Houjou, Satoko', 'Takano, Miyo', 'Ooishi, Kuraudo', 'Houjou, Satoshi']
animeVoices	['Tamura, Yukari', 'Nakahara, Mai', 'Yukino, Satsuki', 'Hoshi, Souichirou', 'Horie, Yui', 'Kanai, Mika', 'Itou, Miki', 'Chafurin', 'Kobayashi, Yuu']
animeStaff	[['Tachibana, Hideki', 'Director'], ['Kato, Toshiyuki', 'Episode Director'], ['Kawase, Toshifumi', 'Script, Series Composition'], ['Horie, Yui', 'Theme Song Performance, Inserted Song Performance']]
