animeTitle	Boku no Boukuugou
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	135
animeRank	
animePopularity	12445
animeDescription	"The fourth film in Shin-Ei's series of annual WWII themed anime television movies for children Sensou Douwa (war story).

(Source: AniDB)
"
animeRelated	['Kiku-chan to Ookami', 'Futatsu no Kurumi', 'Aoi Hitomi no Onnanoko no Ohanashi', 'Yakeato no, Okashi no Ki', 'Umigame to Shounen', 'Tako ni Natta Okaasan', 'Chiisai Sensuikan ni Koi wo Shita Dekasugiru Kujira no Hanashi']
animeCharacters	"['Town Chairman', 'Kasamatsu, Tomoko', ""Tomoko's Brother"", 'Grandmother', 'Yuu-chan', 'Radio Announcer', 'Narrator', 'Kasamatsu, Yuusuke']"
animeVoices	['Kamei, Saburou', 'Hisakawa, Aya', 'Nakamura, Daiki', 'Satou, Chie', 'Ookubo, Shoutaro', 'Oota, Shinichirou', 'Orikasa, Ai', 'Kiyokawa, Motomu']
animeStaff	[['Takeuchi, Yoshio', 'Director, Storyboard, Screenplay'], ['Ookuma, Akira', 'Sound Director'], ['Masuda, Toshihiko', 'Key Animation'], ['Seki, Shuuichi', 'Character Design']]
