animeTitle	b'Spy Gekimetsu'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A war propaganda film which begins with Roosevelt and Churchill in a secret meeting preparing their spy plans. Western spies in fancy suits and top hats parachute into Japan, disturbing innocent farmers. The Japanese civilians manage to thwart the spy activities.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Churchill, Winston', b'Roosevelt, Franklin Delano']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Zenjirou\n\nEpisode Director, Key Animation, Director of Photography\n\n']
