animeTitle	Sheng Shi Zhuang Niang
animeType	ONA
animeNumEpisode	20
releaseDate	2018-07-24 00:00:00
endDate	2018-11-27 00:00:00
animeNumMembers	4319
animeScore	6.77
animeUsers	947
animeRank	4735
animePopularity	7457
animeDescription	"A beauty blogger has been sent to a VR reality game, where she has to stand firm in a catfight in boudoir. But how so? She is given numerous cosmetic products that she can arm herself up with. Based on the popular online novel published on the famous female-oriented online novel website ""Jinjiang"", this animation is strongly recommended to those who love all kinds of cosmetics.

(Source: Guodong Subs)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
