animeTitle	Carnival Phantasm
animeType	OVA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.88
animeUsers	80928
animeRank	
animePopularity	1032
animeDescription	"How do you resolve a conflict between powerful spirits of famous heroes for a prize capable of granting any wish? Wage a war that will cost your blood, sweat, and tears? Too much work—how about a game-show competition instead?

Carnival Phantasm takes a number of characters from Type-Moon's original works, and puts them in a variety of light-hearted scenarios which parody their respective series. Watch Lancer suffering due to his low luck stat, or watch the egotistical King of Heroes gladly kneel to a dominatrix King of Knights. Just remember to leave your sanity at the door.
"
animeRelated	['Take Moon', 'Shingetsutan Tsukihime', 'Fate/stay night', 'Kara no Kyoukai 1: Fukan Fuukei', 'Fate/stay night: Unlimited Blade Works', 'Carnival Phantasm EX Season', 'Carnival Phantasm: Illya-jou', 'Carnival Phantasm: HibiChika Special', 'Fate/Grand Carnival']
animeCharacters	['Saber', 'Toosaka, Rin', 'Emiya, Shirou', 'Brunestud, Arcueid', 'Toono, Shiki', 'Toono, Akiha', 'Emiya, Kiritsugu', 'Gilgamesh', 'Archer', 'Ryougi, Shiki']
animeVoices	['Kawasumi, Ayako', 'Ueda, Kana', 'Sugiyama, Noriaki', 'Yuzuki, Ryouka', 'Nojima, Kenji', 'Hitomi', 'Seki, Tomokazu', 'Suwabe, Junichi']
animeStaff	[['Higa, Yuuji', 'Producer'], ['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Ishida, Tooru', 'Episode Director']]
