animeTitle	b'Ookami Shounen Ken'
animeType	b'TV'
animeNumEpisode	86
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Ken The Wolf Boy is about the adventures of Ken, who was brought up by wolves in the jungle and can be compared to Jungle Book. His main companions were two young wolves named Chi Chi and Po Po.\n\n(Source: AniDB)'
animeRelated	[b'Ookami Shounen Ken (Movie)', b'Ookami Shounen Ken: Arabia no Kaijin - Ma no Iwa no Kettou']
animeCharacters	[b'Poppo', b'Ken', b'Boss', b'Chicchi', b'Jack', b'Ookuma']
animeVoices	[b'\nMizugaki, Youko\nJapanese\n', b'\nNishimoto, Yuuji\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nTagami, Kazue\nJapanese\n', b'\nUtsumi, Kenji\nJapanese\n', b'\nMasuoka, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIkeda, Hiroshi\n\nDirector\n\n', b'\nKuroda, Yoshio\n\nEpisode Director\n\n', b'\nTsukioka, Sadao\n\nEpisode Director, Theme Song Lyrics, Animation Director, Original Creator, Character Design\n\n', b'\nMiyazaki, Hayao\n\nIn-Between Animation\n\n']
