animeTitle	Masuda Kousuke Gekijou Gag Manga Biyori 3
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	1121
animeRank	
animePopularity	8798
animeDescription	Based on Masuda Kosuke's popular gag manga. Famous for its cynicism and sarcasm. Features omnibus styled 5-minute episodes starring various characters; including historical figures.
animeRelated	['Masuda Kousuke Gekijou: Gag Mangabiyori', 'Masuda Kousuke Gekijou Gag Manga Biyori 2', 'Masuda Kousuke Gekijou Gag Manga Biyori +']
animeCharacters	['Usami-chan', 'Shoutoku, Taishi', 'Kumakichi', 'Onono, Imoko', 'Kawai, Sora', 'Matsuo, Bashou']
animeVoices	['Maeda, Takeshi', 'Nazuka, Kaori', 'Naitou, Ryou']
animeStaff	[['Daichi, Akitarou', 'Director'], ['Ueda, Yuuji', 'Theme Song Performance'], ['Masuda, Kousuke', 'Original Creator'], ['Ooyama, Yoshihisa', 'Director of Photography']]
