animeTitle	Digimon Survive: Prologue Movie
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	1472
animeRank	
animePopularity	6865
animeDescription	"A prologue movie released on Bandai Namco's official YouTube channels for the eventual 2020 release of the Digimon Survive game. The movie was first shown at the Anime Expo's panel ""The Future of Digimon"" and then later posted online."
animeRelated	['Digimon Adventure']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
