animeTitle	b'Onegai My Melody'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	2750
animeRank	
animePopularity	
animeDescription	b'My Melody arrives on Earth much to the surprise of her rival Kuromi. Together with one of the junior high school students, Yumeno Uta, they decide to protect the dreams of the people with the help of magic. \n'
animeRelated	[b'Onegai My Melody: Kuru Kuru Shuffle!', b'Onegai My Melody: Yuu & Ai', b'Littleforestmello']
animeCharacters	[b'Kuromi', b'My Melody', b'Hiiragi, Keiichi', b'Yumeno, Uta', b'Piano-chan', b'Baku', b'Fujisaki, Mana', b'Kogure, Kakeru', b'Flat', b'Yumeno, Koto']
animeVoices	[b'\nTakeuchi, Junko\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nEnoki, Azusa\nJapanese\n', b'\nMaeda, Noboru\nJapanese\n', b'\nSugimoto, Yuu\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nMiura, Kaori\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Kazuya\n\nProducer\n\n', b'\nMoriwaki, Makoto\n\nDirector, Episode Director, Storyboard\n\n', b'\nHiramitsu, Takuya\n\nSound Director\n\n', b'\nAshida, Toyoo\n\nEpisode Director, Storyboard\n\n']
