animeTitle	b'Inazuma Eleven Go Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	2246
animeRank	
animePopularity	
animeDescription	b'Recap episodes of Inazuma Eleven Go made to catch viewers up in the newest franchise in preparation for the Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon film being released at the same time period (the 2nd recap ep aired on the same day the movie came out). Both recap episodes were included on the 12th DVD volume of the main anime as well.'
animeRelated	[b'Inazuma Eleven Go']
animeCharacters	[b'Matsukaze, Tenma', b'Tominaga, Jun']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nNagano, Takuzou\n\nOriginal Character Design\n\n']
