animeTitle	Fumiko no Kokuhaku
animeType	ONA
animeNumEpisode	1
releaseDate	2009-11-08 00:00:00
endDate	
animeNumMembers	24991
animeScore	6.63
animeUsers	15299
animeRank	5454
animePopularity	3600
animeDescription	"Everyone handles rejection in their own way. But when Takashi turns down Fumiko's confession, the young schoolgirl unleashes her frustrations on a fanatical sprint through the neighborhood. However, a single misstep sends her soaring, and things go downhill from there...

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Fumiko', 'Takashi']
animeVoices	[]
animeStaff	[['Ishida, Hiroyasu', 'Director']]
