animeTitle	Emi to Yobanaide
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	4.95
animeUsers	414
animeRank	
animePopularity	10628
animeDescription	Emi is a high-school girl with a very strong love for her younger step-brother. She finally decides that it is time to confess her love to him, since it is near her 18th birthday. But before the climactic moment where she can confess her love; debt collectors arrive to confiscate her father's properties.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
