animeTitle	Bug tte Honey: Megarom Shoujo Mai 4622
animeType	Movie
animeNumEpisode	1
releaseDate	1987-07-21 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14947
animeDescription	Movie of the Bug tte Honey.
animeRelated	['Bug tte Honey']
animeCharacters	['Takahashi, Genjin', 'Bee, Honey', 'Skeleton', 'Otasha', 'Midori', 'King Kyura', 'One Up', 'Mai', 'Rio']
animeVoices	['Mizushima, Yuu', 'Koujiro, Chie', 'Chiba, Shigeru', 'Saikachi, Ryuuji', 'Adachi, Shinobu', 'Takiguchi, Junpei', 'Mitsuya, Yuuji', 'Shou, Mayumi', 'Nanba, Keiichi']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Oka, Kasumi', 'Theme Song Lyrics, Screenplay'], ['Shou, Mayumi', 'Inserted Song Performance'], ['Miyazawa, Yasunori', 'Key Animation']]
