animeTitle	b'Rolling\xe2\x98\x86Girls'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	24214
animeRank	
animePopularity	
animeDescription	"b'In a dystopian future where Japan\'s political organization has crumbled after the Great Tokyo War, Japan is broken up into 10 independent nations, with each nation controlled by a gang led by a ""Best,"" a human-proclaimed prophet with destructive superpowers. Nozomi Moritomo is a ""Rest""\xe2\x80\x94a normal girl that has just started out as a rookie in the local gang. She wants to help the Best Masami Utoku, her childhood friend and role model, in the ongoing territorial dispute. \n\nWhen Masami becomes severely injured and unable to fight, Nozomi decides to go on a mission to complete the requests sent to Masami from all over Japan. Along the way, she meets Yukina Kosaka, a shy girl with no sense of direction; Ai Hibiki, an upbeat girl who loves eating; and Chiaya Misono, a quiet and mysterious girl that wears a gas mask. Together, the four girls travel all over the country on their motorcycles while getting involved in territorial wars, disagreements, and even suspicious conspiracies.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Rolling\xe2\x98\x86Girls', b'Rolling\xe2\x98\x86Girls: Chibi\xe2\x98\x86Rolling\xe2\x98\x86Girls Korokoro Gekijou']
animeCharacters	[b'Misono, Chiaya', b'Moritomo, Nozomi', b'Kosaka, Yukina', b'Hibiki, Ai', b'Utoku, Masami', b'Crocodile', b'Shigyou, Kuniko', b'Fujiwara, Haru', b'Akogi', b'Ishizukuri, Shima']
animeVoices	[b'\nHanamori, Yumiri\nJapanese\n', b'\nOzawa, Ari\nJapanese\n', b'\nHidaka, Rina\nJapanese\n', b'\nTaneda, Risa\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nTezuka, Hiromichi\nJapanese\n', b'\nOno, Fuyuka\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nHamazoe, Shinya\nJapanese\n', b'\nKatsuki, Masako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWada, Jouji\n\nProducer, Planning\n\n', b'\nNakatake, Tetsuya\n\nProducer\n\n', b'\nDeai, Kotomi\n\nDirector\n\n', b'\nHata, Shouji\n\nSound Director\n\n']
