animeTitle	Africa no Salaryman
animeType	ONA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	358
animeRank	
animePopularity	9793
animeDescription	"The comedy manga follows a lion, toucan, and lizard as they live the lives of office workers in a capitalist society in Japan, while also dealing with their unique situations as animals living beyond the savanna and the food chain. 

(Source: ANN)"
animeRelated	['Africa no Salaryman', 'Africa no Salaryman (TV)']
animeCharacters	['Toucan', 'Lizard', 'Lion', 'Deadly Hamster', 'President Turtle']
animeVoices	[]
animeStaff	[['Gum', 'Original Creator']]
