animeTitle	Ore-sama Kingdom
animeType	OVA
animeNumEpisode	14
releaseDate	2011-02-01 00:00:00
endDate	2013-05-01 00:00:00
animeNumMembers	
animeScore	6.3
animeUsers	497
animeRank	
animePopularity	8257
animeDescription	"The story centers on Nonoha Nonohara, a young manga artist who just enrolled in a new school. She finds herself surrounded by a group of three ""super-cute"" guys.

(Source: MU)"
animeRelated	['Oresama Kingdom']
animeCharacters	['Nonohara, Nono', 'Akagi, Hikaru', 'Kurosawa, Shun', 'Hakuba, Shinogu', 'Oohigashi, Mariko', 'Taniguchi', 'Isshiki, Kyouya', 'Kurosawa, Miwa']
animeVoices	['Hasegawa, Akiko', 'Naruse, Makoto', 'Sakurai, Takahiro', 'Hatano, Wataru', 'Makiguchi, Miki', 'Yusa, Kouji', 'Hosoya, Yoshimasa', 'Ise, Mariya']
animeStaff	[['Yagami, Chitose', 'Original Creator']]
