animeTitle	Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-04 00:00:00
endDate	2021-03-22 00:00:00
animeNumMembers	
animeScore	6.34
animeUsers	89834
animeRank	
animePopularity	927
animeDescription	"A long time ago, the ancient saviors of humanity founded a village as their haven, with their descendants said to assist humanity in times of extreme chaos. This village, Kunlun, is located just beside the infamous ""Last Dungeon""—a place where monsters of unimaginable strength reside and which serves as the hunting grounds for Kunlun residents.

Despite being accustomed to defeating powerful enemies since childhood, Lloyd Belladonna regards himself as the weakest in his village in terms of magic, strength, and intelligence. Even so, to fulfill his desire of becoming a soldier, he goes to the Kingdom of Azami to enroll in its military academy. However, as someone whose upbringing defies common sense, Lloyd's innate power might just prove to be the key to end the crises enveloping the kingdom!

[Written by MAL Rewrite]"
animeRelated	['Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari']
animeCharacters	['Belladonna, Lloyd', 'Hemein, Selen', 'Marie', 'Flavin, Riho', 'Alka', 'Phyllo', 'Alan', 'Meltfan', 'Shouma', 'Colin']
animeVoices	['Hanamori, Yumiri', 'Asahina, Madoka', 'Kayano, Ai', 'Tsuda, Minami', 'Hioka, Natsumi', 'Itou, Miku', 'Yamashita, Seiichirou', 'Hino, Satoshi', 'Saitou, Souma', 'Ichimichi, Mao']
animeStaff	[['migmi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['KOTOKO', 'Theme Song Lyrics'], ['Yamazaki, Haruka', 'Theme Song Performance']]
