animeTitle	School Rumble
animeType	TV
animeNumEpisode	26
releaseDate	2004-10-05 00:00:00
endDate	2005-03-29 00:00:00
animeNumMembers	
animeScore	7.91
animeUsers	130536
animeRank	
animePopularity	575
animeDescription	"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight.

School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.

[Written by MAL Rewrite]"
animeRelated	['School Rumble', 'School Rumble: Ichi Gakki Hoshuu', 'School Rumble Ni Gakki']
animeCharacters	['Harima, Kenji', 'Sawachika, Eri', 'Tsukamoto, Yakumo', 'Tsukamoto, Tenma', 'Takano, Akira', 'Suou, Mikoto', 'Karasuma, Ouji', 'Imadori, Kyousuke', 'Hanai, Haruki', 'Ichijou, Karen']
animeVoices	['Takahashi, Hiroki', 'Horie, Yui', 'Noto, Mamiko', 'Koshimizu, Ami', 'Shimizu, Kaori', 'Nabatame, Hitomi', 'Konishi, Ryousei', 'Kishio, Daisuke', 'Kawada, Shinji', 'Nanri, Yuuka']
animeStaff	[['Cook, Justin', 'Producer'], ['Takamatsu, Shinji', 'Director, Episode Director, Storyboard'], ['Tanaka, Kazuya', 'Sound Director'], ['Nagahama, Hiroshi', 'Episode Director, Storyboard']]
