animeTitle	b'Nabari no Ou'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	59076
animeRank	
animePopularity	
animeDescription	"b'Silent, apathetic, yet mischievous, 14-year-old Rokujou Miharu is the bearer of the hijutsu, ""Shinrabanshou,"" a powerful technique many ninja clans desire to possess to become the ruler of Nabari. Fellow classmate Kouichi and his English teacher Kumohira are both secretly Banten clan ninjas, pledging themselves to protect Miharu from his many attackers. Keeping apathetic, Miharu attempts to reject their invitation to join their ninja ""club."" However, after numerous attacks, he finds no choice but to join their group as a means for his survival. Slowly, Miharu takes a step closer to becoming the ruler of Nabari.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Nabari no Ou']
animeCharacters	[b'Yoite', b'Rokujou, Miharu', b'Shimizu, Raikou', b'Aizawa, Kouichi', b'Kumohira, Thobari Durandal', b'Yukimi, Kazuhiko', b'Shimizu, Raimei', b'Meguro, Gau', b'Kurookano, Shijima', b'Seki, Hanabusa']
animeVoices	[b'\nSaiga, Mitsuki\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nShindou, Kei\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCook, Justin\n\nProducer\n\n', b'\nSugishima, Kunihisa\n\nDirector, Storyboard\n\n', b'\nKikuta, Hiromi\n\nSound Director\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n']
