animeTitle	b'Douluo Dalu: Jingying Sai'
animeType	b'ONA'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	8.16
animeUsers	4520
animeRank	
animePopularity	
animeDescription	b'Second part of Douluo Dalu.'
animeRelated	[b'Douluo Dalu', b'Douluo Dalu: Hao Tian Yang Wei']
animeCharacters	[b'San, Tang', b'Wu, Xiao', b'Oscar', b'Zhuqing, Zhu', b'Yu, Xiaogang', b'Hongjun, Ma', b'Ning, Rongrong', b'Mu Bai, Dai', b'Dugu, Bo', b'Tang, Hao']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTang Jia San Shao\n\nOriginal Creator\n\n']
