animeTitle	Sore Ike! Anpanman: Tekka no Maki-chan to Kin no Kamameshidon
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14775
animeDescription	14th Anpanman short movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Kamameshidon', 'Batako-san', 'Tendonman', 'Horrorman', 'Katsudonman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Sakuma, Rei', 'Sakamoto, Chika', 'Kimotsuki, Kaneta', 'Mitsuya, Yuuji']
animeStaff	[['Ooga, Shunji', 'Director'], ['Yanase, Takashi', 'Original Creator'], ['Oomichi, Hiromasa', 'Animation Director']]
