animeTitle	b'Sakigake!! Otokojuku'
animeType	b'TV'
animeNumEpisode	34
releaseDate	
endDate	
animeNumMembers	
animeScore	7.39
animeUsers	2515
animeRank	
animePopularity	
animeDescription	b'Otokojuku: a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through feudal and military fundamentals. Similar to an action film, the classes are overwhelmed by violence. Only those who survive it become true men.\n\n(Source: ANN)'
animeRelated	[b'Sakigake!! Otokojuku', b'Sakigake!! Otokojuku Movie']
animeCharacters	[b'Tsurugi, Momotarou', b'Togashi, Genji', b'Toramaru, Ryuji', b'Edajima, Heihachi', b'Tazawa, Ippei', b'Daigouin, Jaki', b'Gokukoji, Hidemaro', b'Tsubakiyama, Kiyomi', b'Date, Omito', b'J']
animeVoices	[b'\nHori, Hideyuki\nJapanese\n', b'\nYamaguchi, Ken\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nGouri, Daisuke\nJapanese\n', b'\nHirano, Masato\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nTsukase, Noriko\nJapanese\n', b'\nNakata, Kazuhiro\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n', b'\nGinga, Banjou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishizawa, Nobutaka\n\nDirector\n\n', b'\nOoba, Hideaki\n\nEpisode Director\n\n', b'\nYamayoshi, Yasuo\n\nEpisode Director\n\n', b'\nKikuchi, Shunsuke\n\nMusic\n\n']
