animeTitle	Senya Ichiya Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	1331
animeRank	
animePopularity	7522
animeDescription	"Aladdin, a lowly water seller, is new to the city of Baghdad when he sees the beautiful Miriam being sold at a slave auction. Enthralled by her beauty, Aladdin manages to steal Miriam from the auction and spends a passionate night with her in an unoccupied home. When the two wake, however, they are met by the owner of the home and are tragically separated.

Osamu Tezuka's lustful tale follows Aladdin and Miriam as they struggle to reunite with each other while facing the trials of a strange and magical world.

[Written by MAL Rewrite]"
animeRelated	['Cleopatra', 'Kanashimi no Belladonna']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
