animeTitle	Little Twins
animeType	OVA
animeNumEpisode	3
releaseDate	1992-07-23 00:00:00
endDate	1993-01-01 00:00:00
animeNumMembers	229
animeScore	
animeUsers	
animeRank	17071
animePopularity	15598
animeDescription	"In these adaptations of lsamu Tsuchida's picture books for children, Tiffle and Tuffle are two little twins in pointed hats who live on Coracle Island and have a few light-hearted adventures. 

(Source: The Anime Encyclopedia)"
animeRelated	['Little Twins: Bokura no Natsu ga Tondeiku']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
