animeTitle	Reunion (Music)
animeType	Music
animeNumEpisode	1
releaseDate	2013-04-17 00:00:00
endDate	
animeNumMembers	2750
animeScore	5.65
animeUsers	1341
animeRank	9901
animePopularity	8611
animeDescription	"Music video/PV for ClariS' single ""reunion."" The song was used as the opening theme for ""Ore no Imoto ga Konna ni Kawaii Wake ga nai"" second season. Released on April 17, 2013, and was also included in the ""second story"" album."
animeRelated	['Ore no Imouto ga Konnani Kawaii Wake ga Nai.', 'Nexus']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
