animeTitle	Wild Adapter
animeType	OVA
animeNumEpisode	2
releaseDate	2014-03-26 00:00:00
endDate	2015-09-30 00:00:00
animeNumMembers	
animeScore	6.22
animeUsers	2016
animeRank	
animePopularity	5982
animeDescription	"Makoto Kubota wandered through life, not taking things too seriously or looking too deep within himself. His job as the head of the Izumo Group's youth gang kept him pleasantly occupied with yakuza wars, mahjong and assassinations... Until the day he stumbled upon a strange drug called Wild Adapter that produces bizarre side-effects—including death. Forever changed, Kubota becomes entangled with a drifter named Minoru Tokito, and the two form an unlikely companionship that draws them deeper into the mystery of Wild Adapter...

(Source: Tokyopop)
"
animeRelated	['Wild Adapter', 'Shiritsu Araiso Koutougakkou Seitokai Shikkoubu']
animeCharacters	['Kubota, Makoto', 'Tokitou, Minoru', 'Kanda, Ryuunosuke', 'Kiba, Osamu', 'Kasai, Keiichirou', 'Komiya, Nobuo', 'Sanada', 'Kou', 'Shuuji']
animeVoices	['Morikawa, Toshiyuki', 'Ishikawa, Hideo', 'Itou, Kentarou', 'Kondou, Takashi', 'Tsuji, Shinpachi', 'Chiba, Susumu', 'Kosugi, Juurouta', 'Seki, Toshihiko', 'Katsu, Anri']
animeStaff	[['Kuzuya, Naoyuki', 'Director, Episode Director, Storyboard'], ['Sugawara, Miho', 'Sound Director'], ['Morikawa, Toshiyuki', 'Theme Song Performance'], ['Ishikawa, Hideo', 'Theme Song Performance']]
