animeTitle	Yayoi
animeType	OVA
animeNumEpisode	1
releaseDate	1997-12-28 00:00:00
endDate	
animeNumMembers	
animeScore	4.67
animeUsers	342
animeRank	
animePopularity	11292
animeDescription	"Doujin video produced by noted ero mangaka and erogame character designer Shinda Mane based on one of his Union of the Snake doujinshi featuring the cute yuri police girls he was rather fond of.

Originally released on VHS at the 53rd Comiket in Winter 1997.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
