animeTitle	Mahoutsukai no Yome: Gakuin-hen
animeType	ONA
animeNumEpisode	1
releaseDate	2019-03-10 00:00:00
endDate	
animeNumMembers	7661
animeScore	7.0
animeUsers	2248
animeRank	3803
animePopularity	5946
animeDescription	A short ONA released on the MAGGardeninfo YouTube channel to promote the manga's 11th Volume. Immediately follows the events of the TV show, previewing material from the manga's as-of-yet unadapted 10th Volume with new original animation and voice acting.
animeRelated	['Mahoutsukai no Yome']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
