animeTitle	Kono Bijutsubu ni wa Mondai ga Aru!
animeType	TV
animeNumEpisode	12
releaseDate	2016-07-08 00:00:00
endDate	2016-09-23 00:00:00
animeNumMembers	
animeScore	7.21
animeUsers	102991
animeRank	
animePopularity	713
animeDescription	"Mizuki Usami is a passionate member of her school's art club, but the club has a problem—Usami is the only member who takes her craft seriously! The lazy club president constantly sleeps through activities and Collette hasn't regularly attended club activities in quite some time. Uchimaki Subaru, despite being an exceptional artist who could win an award if he tried, is obsessed with drawing the perfect 2D wife.

Light-hearted and comedic in tone, Kono Bijutsubu ni wa Mondai ga Aru! follows Usami as she struggles to do art club-like activities, often obstructed by her motley crew of good-for-nothings and her distracting crush on Subaru.

[Written by MAL Rewrite]"
animeRelated	['Kono Bijutsubu ni wa Mondai ga Aru!']
animeCharacters	['Usami, Mizuki', 'Uchimaki, Subaru', 'Collette', 'President', 'Imari, Maria', 'Moeka', 'Ayase, Kaori', 'Tachibana, Yumeko', 'Second Year Boy', 'Oedaki, Yuka']
animeVoices	['Ozawa, Ari', 'Kobayashi, Yuusuke', 'Uesaka, Sumire', 'Tone, Kentarou', 'Touyama, Nao', 'Tanaka, Aimi', 'Tokui, Sora', 'Mizuki, Nana', 'Takumi, Yasuaki', 'Ichimichi, Mao']
animeStaff	[['Oikawa, Kei', 'Director, Episode Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Arakawa, Naruhisa', 'Script, Series Composition'], ['Mizuki, Nana', 'Theme Song Performance']]
