animeTitle	BaBuKa: Gokudou no Tsuma
animeType	OVA
animeNumEpisode	2
releaseDate	2011-10-21 00:00:00
endDate	2011-11-18 00:00:00
animeNumMembers	3714
animeScore	5.71
animeUsers	1232
animeRank	
animePopularity	7839
animeDescription	The sexual adventures of various mature women.
animeRelated	[]
animeCharacters	['Hasukata, Ren', 'Rieka']
animeVoices	['Ryou, Manaka']
animeStaff	[['Koike, Ahiru', 'Director'], ['Sawayama, Shinichiro', 'Script'], ['Sera, Kouta', 'Key Animation']]
