animeTitle	Flashback Game
animeType	OVA
animeNumEpisode	3
releaseDate	2001-10-18 00:00:00
endDate	2001-04-18 00:00:00
animeNumMembers	2251
animeScore	5.36
animeUsers	702
animeRank	
animePopularity	9115
animeDescription	"Mizuho, Noriko and Yuri are three friends that go to a beauty spa that Yuri won in a competition. They relax there and have fun until they try one of the new treatments, where they see un a shining light. This light bring back their traumatic memories such as rapes of squads and sexual abuse in childhood. 

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
