animeTitle	Shampoo no Nioi ga Shita
animeType	Music
animeNumEpisode	1
releaseDate	2018-04-11 00:00:00
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	681
animeRank	
animePopularity	10320
animeDescription	Music video included with the second single of the digital idol group 22/7 (Nanabun no Nijuuni).
animeRelated	['Boku wa Sonzai Shiteinakatta', 'Rikaisha', 'Nani mo Shite Agerarenai', '22/7', 'Ano Hi no Kanojo-tachi']
animeCharacters	['Takigawa, Miu', 'Toda, Jun', 'Fujima, Sakura', 'Maruyama, Akane', 'Tachikawa, Ayaka', 'Satou, Reika', 'Saitou, Nicole', 'Kouno, Miyako']
animeVoices	[]
animeStaff	[['Andou, Ryou', 'Director'], ['22/7', 'Theme Song Performance'], ['Akimoto, Yasushi', 'Theme Song Lyrics'], ['Kantoku', 'Original Character Design']]
