animeTitle	Weiß Kreuz Glühen
animeType	TV
animeNumEpisode	13
releaseDate	2002-11-28 00:00:00
endDate	2003-03-20 00:00:00
animeNumMembers	
animeScore	6.57
animeUsers	3398
animeRank	
animePopularity	5442
animeDescription	"Koua is an academy that brings Japanese's most talented people and students together. The mission is to train talented people to bear the world's future leadership. However, recently, the suicide rate in the academy is increasing and there is hardly any information being released to the public. 

Fujimiya Aya is sent to infiltrate this school carrying out criminal investigation and disguise himself as a teacher. In fact, actually, there is a connection between Koua academy and the global terrorist activities that are frequently occur. Therefore Persia assigns Hidaka Ken and Kudou Youji as well into this mission to solve the truth and connection of the incident behind Koua academy. 

(Source: AniDB) "
animeRelated	['Weiß Kreuz', 'Weiß Kreuz OVA']
animeCharacters	['Fujimiya, Ran', 'Tsukiyono, Omi', 'Kudou, Youji', 'Hidaka, Ken', 'Izumi, Sena', 'Aguri, Kyou', 'Schuldig', 'Crawford, Brad', 'Naoe, Nagi']
animeVoices	['Koyasu, Takehito', 'Yuuki, Hiro', 'Miki, Shinichiro', 'Seki, Tomokazu', 'Yamaguchi, Kappei', 'Ogihara, Hideki', 'Midorikawa, Hikaru', 'Okiayu, Ryoutarou', 'Sasaki, Nozomu']
animeStaff	[['Matsui, Hitoyuki', 'Director'], ['Satou, Kazuharu', 'Script'], ['Seki, Tomokazu', 'Theme Song Performance'], ['Sakuraba, Motoi', 'Music']]
