animeTitle	Sore Ike! Anpanman: Yousei Rinrin no Himitsu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15123
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Rollpanna', 'Currypanman', 'Cheese', 'Horrorman', 'Dokin-chan', 'Oji-san, Jam', 'Shokupanman', 'Melonpanna']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Tominaga, Miina', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Kanai, Mika']
animeStaff	[['Ootani, Kazuo', 'Theme Song Arrangement'], ['Yonemura, Shouji', 'Screenplay'], ['Maeda, Minoru', 'Animation Director, Character Design'], ['Masuda, Toshihiko', 'Key Animation']]
