animeTitle	Kanojo, Okarishimasu Petit
animeType	ONA
animeNumEpisode	15
releaseDate	2020-07-17 00:00:00
endDate	2020-10-01 00:00:00
animeNumMembers	15750
animeScore	6.09
animeUsers	3763
animeRank	8246
animePopularity	4448
animeDescription	Short episodes with super-deformed characters posted on the official Twitter account. Includes three extra collaboration episodes with halca, the peggies, and eheya, as well as a Blu-ray only extra episode.
animeRelated	['Kanojo, Okarishimasu']
animeCharacters	['Ichinose, Chizuru', 'Nanami, Mami', 'Sakurasawa, Sumi', 'Sarashina, Ruka']
animeVoices	[]
animeStaff	[['Takakuwa, Hajime', 'Sound Director'], ['Iwasa, Takahiro', 'Script'], ['Miyajima, Reiji', 'Original Creator']]
