animeTitle	b'Ginga Nagareboshi Gin'
animeType	b'TV'
animeNumEpisode	21
releaseDate	
endDate	
animeNumMembers	
animeScore	8.04
animeUsers	9785
animeRank	
animePopularity	
animeDescription	b'Gin is a silver Tora-ge named after his coat color. Shortly after being born, he watches his father, Riki, get killed by Akakabuto, a bear that terrorizes everything in his path. Being the third-generation of bear-dogs to try to stand up against Akakabuto, he ventures out to find dogs to join him in his fight. \n'
animeRelated	[b'Ginga Nagareboshi Gin', b'Ginga Densetsu Weed']
animeCharacters	[b'Gin', b'Riki', b'Ben', b'John', b'Akame', b'Akatora', b'Smith', b'Madara', b'Tesshin', b'Kurotora']
animeVoices	[b'\nYamada, Eiko\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nHori, Hideyuki\nJapanese\n', b'\nIkemizu, Michihiro\nJapanese\n', b'\nTotani, Kouji\nJapanese\n', b'\nTonguu, Kyouko\nJapanese\n', b'\nTanaka, Ryouichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatsumata, Tomoharu\n\nDirector\n\n', b'\nNishizawa, Nobutaka\n\nEpisode Director\n\n', b'\nTerada, Kenji\n\nScript\n\n', b'\nMiyauchi, Takayuki\n\nTheme Song Performance\n\n']
