animeTitle	Souseiki
animeType	Movie
animeNumEpisode	1
releaseDate	1968-10-01 00:00:00
endDate	
animeNumMembers	1601
animeScore	5.48
animeUsers	869
animeRank	10447
animePopularity	10016
animeDescription	"This is a short film parodying the major Hollywood film ""The Creation"" directed by John Houston. This film has the look of a tongue-in-cheek production, done on a small budget by animators who wanted to make fun of great works that cost enormous sums of money.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
