animeTitle	Sore Ike! Anpanman: Niji no Pyramid
animeType	Movie
animeNumEpisode	1
releaseDate	1997-07-26 00:00:00
endDate	
animeNumMembers	323
animeScore	
animeUsers	
animeRank	13493
animePopularity	14251
animeDescription	9th Anpanman short movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Rollpanna', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Oji-san, Jam', 'Shokupanman', 'Melonpanna']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Tominaga, Miina', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Kanai, Mika']
animeStaff	[['Ooga, Shunji', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Yanase, Takashi', 'Theme Song Lyrics, Original Creator'], ['Ootani, Kazuo', 'Theme Song Arrangement']]
