animeTitle	Tokio Kidou Police
animeType	OVA
animeNumEpisode	2
releaseDate	1997-07-21 00:00:00
endDate	1997-08-21 00:00:00
animeNumMembers	
animeScore	5.91
animeUsers	844
animeRank	
animePopularity	9180
animeDescription	" A strong and eager, but sexually very inhibited girl joins an elite police team in the future Tokyo. There, one of her colleagues, a beautiful and sexually not a little bit inhibited woman awakens her sexuallity. Tokyo Private Police is in a way a mix of mecha-fights and sexual interaction. 

(Source: ANN)"
animeRelated	['Tokio Kidou Police: Bishoujo Taiin, Shukkin seyo!']
animeCharacters	['Ibuki, Noriko', 'Ohyama, Isamu', 'Yamagami, Keiko', 'Kawasaki, Yasuo', 'Kuraishi, Kayoko', 'Manager Shibata']
animeVoices	['Kawakami, Tomoko', 'Yamanoi, Jin', 'Yamaguchi, Yuriko', 'Takagi, Wataru', 'Takada, Yumi', 'Yanaka, Hiroshi']
animeStaff	[['Teraoka, Kenji', 'Mechanical Design']]
