animeTitle	Neko Matsuri
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	669
animeRank	
animePopularity	10573
animeDescription	"Official music video for the song Neko Matsuri by the fictional band Irodorimidori. It is the 13th song in the franchise and focuses on Naru Hakobe.
"
animeRelated	['My Dearest Song', 'Bang Babang Bang!!!']
animeCharacters	['Hakobe, Naru']
animeVoices	[]
animeStaff	[['Yarita', 'Director']]
