animeTitle	b'Precure Miracle Universe Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	680
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Futari wa Precure', b'Hug tto! Precure', b'Star\xe2\x98\x86Twinkle Precure']
animeCharacters	[b'Hagoromo, Lala', b'Hoshina, Hikaru', b'Kotozume, Yukari', b'Aisaki, Emiru', b'Kenjou, Akira', b'Usami, Ichika', b'Arisugawa, Himari', b'Tategami, Aoi', b'Kaguya, Madoka', b'Kirahoshi, Ciel']
animeVoices	[b'\nNaruse, Eimi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKaizawa, Yukio\n\nCo-Director, Director\n\n', b'\nKureta, Kouhei\n\nCo-Director, Director\n\n', b'\nMurayama, Isao\n\nScript\n\n', b'\nHayashi, Yuuki\n\nMusic\n\n']
