animeTitle	Muu no Hakugei
animeType	TV
animeNumEpisode	26
releaseDate	1980-04-04 00:00:00
endDate	1980-09-26 00:00:00
animeNumMembers	1115
animeScore	6.3
animeUsers	247
animeRank	7178
animePopularity	10867
animeDescription	"In ancient times, the continents of Atlantis and Mu fought a war, and Atlantis lost. After losing the war, Atlantis transformed itself into a small planet and timeslipped to the present-day to try to take over the world again. But five warriors from Mu assemble on Easter Island, and together with giant cyborg white whale that houses the brain of the ancient queen of Mu, fight Atlantis off at various famous ruins around the world.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Platos', 'Shin']
animeVoices	['Furukawa, Toshio', 'Suzuoki, Hirotaka']
animeStaff	[['Okazaki, Minoru', 'Episode Director'], ['Imazawa, Tetsuo', 'Episode Director, Chief Animation Director'], ['Nagaoka, Akinori', 'Episode Director'], ['Yamayoshi, Yasuo', 'Episode Director']]
