animeTitle	b'Seikon no Qwaser'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	105826
animeRank	
animePopularity	
animeDescription	"b'When Tomo Yamanobe\'s father\xe2\x80\x94the former headmaster of Saint Mikhailov Academy\xe2\x80\x94disappeared, he left nothing behind except for a piece of art called the ""icon."" Soon after his disappearance, rumors of a serial killer attacking female students of the academy began to spread.\n\nAs Tomo and her sister Mafuyu Oribe head home after being tormented at school, Tomo trips over an injured silver-haired boy who abruptly vanishes while being tended to. Mafuyu goes to look for him, only to discover that the church holding the icon is burning down. When she tries to save the painting, the rumored serial killer suddenly attacks her with a mysterious ability to control magnesium. Appearing out of nowhere, the silver-haired boy, who can control iron, rescues Mafuyu.\n\nMafuyu finds out that the boy, named Alexander Nikolaevich ""Sasha"" Hell, is a ""qwaser""\xe2\x80\x94a being who is capable of controlling an element through the power of ""soma,"" received through the act of breastfeeding. Confused by the ordeal, Mafuyu attempts to move past it with little luck, as Sasha transfers to her class the next day. What will become of Tomo and Mafuyu\'s normal school life with the danger of other qwasers looming close to them?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Seikon no Qwaser', b'Seikon no Qwaser Picture Drama', b'Seikon no Qwaser: Jotei no Shouzou', b'Seikon no Qwaser II']
animeCharacters	[b'Hell, Alexander Nikolaevich', b'Kurae, Ekaterina', b'Oribe, Mafuyu', b'Yamanobe, Tomo', b'Katsuragi, Hana', b'Beria, Teresa', b'Mitarai, Fumika', b'Oikawa, Urara', b'Elizabeth', b'Tsujidou, Miyuri']
animeVoices	[b'\nSanpei, Yuuko\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nChihara, Minori\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagai, Masaru\n\nProducer\n\n', b'\nKaneko, Hiraku\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nNobuta, Yuu\n\nEpisode Director, Key Animation\n\n']
