animeTitle	b'Ryuugajou Nanana no Maizoukin (TV)'
animeType	b'TV'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	89466
animeRank	
animePopularity	
animeDescription	"b'Nanae Island is a man-made island in the Pacific Ocean that holds everything necessary for the proper education and training of children. It was created by the Great Seven, a group of adventurers headed by Nanana Ryuugajou, as a place for the young to chase their dreams.\n\nAfter being disowned and exiled by his family, high school student Juugo Yama arrives on this island, happy to finally be free of his father. Upon moving into his new room, he discovers the ghost of Nanana Ryuugajou, bound to the island after her unsolved murder 10 years ago. Nanana tells Juugo that, just before her death, she hid items with unique and mysterious powers all across the island\xe2\x80\x94items known as the Nanana Collection. Hoping to uncover clues that will help him find the culprit behind her death, Juugo, with the help of self-proclaimed ""Master Detective"" Tensai Ikkyuu and her cross-dressing maid Daruku Hoshino, sets out on his search.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Ryuugajou Nanana no Maizoukin', b'Ryuugajou Nanana no Maizoukin (TV): Nanana Nippon Mukashibanashi']
animeCharacters	[b'Ikkyuu, Tensai', b'Ryuugajou, Nanana', b'Yama, Juugo', b'Hoshino, Daruku', b'Fugi, Yukihime', b'Maboro, Shiki', b'Yoshino, Saki', b'Yuiga, Isshin', b'Ikusaba, Hiiyo', b'Tsurezure, Kagetora']
animeVoices	[b'\nAsumi, Kana\nJapanese\n', b'\nTanabe, Rui\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nKuno, Misaki\nJapanese\n', b'\nOkitsu, Kazuyuki\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nHayashi, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUeda, Masuo\n\nProducer\n\n', b'\nKamei, Kanta\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nKosaka, Harume\n\nEpisode Director\n\n']
