animeTitle	Animegatari
animeType	Movie
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	5.7
animeUsers	436
animeRank	
animePopularity	7321
animeDescription	Short animations screened during intermission at TOHO Cinemas Shinjuku. Eight episodes were shown in theaters, but only six were included on the DVD release.
animeRelated	['Animegatari x Koukaku Kidoutai Collab Eizou', 'Animegataris']
animeCharacters	['Maya', 'Erika', 'Nishiazabu', 'Takashi']
animeVoices	['Minase, Inori', 'Inami, Anju', 'Asanuma, Shintaro']
animeStaff	[['Morii, Kenshirou', 'Director'], ['Kinutani, Soushi', 'Character Design']]
