animeTitle	b'Onigiri ni Naritai Cogimyun'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A prequel to Cogimyun covering her life at flour school before she runs her grandfather\'s apartment complex. Episodes air within the ""Millenia Girl"" live action program and then get released for a limited time later in the day on Sanrio\'s official YouTube channel.'"
animeRelated	[b'Cogimyun']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
