animeTitle	Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey
animeType	OVA
animeNumEpisode	13
releaseDate	2002-12-21 00:00:00
endDate	2003-12-21 00:00:00
animeNumMembers	
animeScore	7.34
animeUsers	2212
animeRank	
animePopularity	6136
animeDescription	"On an archaelogical mission to the end of the known universe, Professor Daiba unwitting unleashes an ancient horror from its confines. Five years later the malevolent alien force sets in motion a plan which reunites the various crewmembers of the Arcadia to sail the stars once more as well as bring Tadashi Daiba to meet Harlock for the first time (again). 

(Source: ANN) "
animeRelated	['Uchuu Kaizoku Captain Herlock']
animeCharacters	['Captain Herlock', 'Ooyama, Tochirou', 'Miime', 'Yuki, Kei', 'Daiba, Tadashi', 'Yattaran', 'Ooyama, Mayu', 'Dr. Zero', 'Dr. Daiba', 'Irita, Yukihito']
animeVoices	['Yamadera, Kouichi', 'Yamaguchi, Kappei', 'Minaguchi, Yuko', 'Sakuma, Rei', 'Seki, Tomokazu', 'Tatsuta, Naoki', 'Kanai, Mika', 'Nozawa, Nachi', 'Hori, Katsunosuke', 'Wakamoto, Norio']
animeStaff	[['Tamura, Manabu', 'Producer'], ['Rintaro', 'Director, Episode Director, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['Kikuchi, Yasuhito', 'Episode Director']]
