animeTitle	Wild 7
animeType	OVA
animeNumEpisode	2
releaseDate	1994-12-17 00:00:00
endDate	1995-02-21 00:00:00
animeNumMembers	
animeScore	6.19
animeUsers	534
animeRank	
animePopularity	9379
animeDescription	"An elite police crime fighting team is formed using convicted criminals. Using their first hand knowledge of the criminal mindset, the Wild 7 are first sent after a gang of Bank robbers. Then in Wild Biker Knights they are sent after a huge crime syndicate that has many high powered government officials in its deep pockets.

(Source: ANN)"
animeRelated	['Wild 7', 'Wild 7 Another Bouryaku Unga']
animeCharacters	['Hiba, Dairoku', 'Narusawa', 'Oota', 'Kuromatsu', 'Shinobe', 'Hanami', 'Happyaku', 'Chaashuu', 'Hebopi', 'Sekai']
animeVoices	['Seki, Toshihiko', 'Naya, Rokurou', 'Morikawa, Toshiyuki', 'Yanaka, Hiroshi', 'Orikasa, Ai', 'Terada, Minori', 'Yamadera, Kouichi', 'Anzai, Masahiro', 'Genda, Tesshou', 'Kobayashi, Kiyoshi']
animeStaff	[['Egami, Kiyoshi', 'Director'], ['Hirai, Hisashi', 'Animation Director'], ['Ooshiro, Tsutomu', 'Key Animation'], ['Yamada, Tatsuo', 'Key Animation']]
