animeTitle	b'Terra Formars'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	100233
animeRank	
animePopularity	
animeDescription	"b'During the 21st century, humanity attempted to colonize Mars by sending two species which could endure the harsh environment of the planet to terraform it\xe2\x80\x94algae and cockroaches. However, they did not anticipate the species\' remarkable ability to adapt. Now in the 26th century, a lethal disease known as the Alien Engine Virus has arrived on Earth, and the cure is suspected to be found only on Mars. The problem is, Mars in the present is overrun by creatures known as ""Terraformars,"" incredibly powerful and intelligent humanoid cockroaches that mutated from those originally sent to the planet. \n\nThe Annex I team, consisting of a hundred men and women genetically enhanced with characteristics of powerful organisms from earth, has been sent to Mars on a mission to find the cause of the Alien Engine Virus and to help cure humanity\xe2\x80\x94signalling the start of the crew\'s fight for survival.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Terra Formars', b'Terra Formars: Bugs 2-hen', b'Terra Formars: Revenge']
animeCharacters	[b'Davis, Michelle K.', b'Hizamaru, Akari', b'Komachi, Shoukichi', b'Asimov, Sylvester', b'Eringrad Garcia, Marcos', b'Kandley Stewart, Alex', b'Reinhardt, Adolf', b'Newton, Joseph Gustav', b'Onizuka, Keiji', b'Asimov, Alexander']
animeVoices	[b'\nItou, Shizuka\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nKiuchi, Hidenobu\nJapanese\n', b'\nIshizuka, Unshou\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nKENN\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nNara, Tooru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatomi, Tetsurou\n\nProducer\n\n', b'\nHamasaki, Hiroshi\n\nDirector, Storyboard\n\n', b'\nYamaguchi, Takayuki\n\nSound Director\n\n', b'\nNakayama, Naomi\n\nEpisode Director\n\n']
