animeTitle	Kyoto Animation: Souzou-hen
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	998
animeRank	
animePopularity	9155
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Kyoto Animation: Ajisai-hen', 'Kyoto Animation: Hoshi-hen', 'Kyoto Animation: Hana-hen', 'Kyoto Animation: Sora-hen', 'Kyoto Animation: Ikitaku Naru Omise-hen', 'Kyoto Animation: Hassou-hen', 'Kyoto Animation: Megane-hen', 'Kyoto Animation: Kasa-hen', 'Kyoto Animation: Suiei-hen', 'Kyoto Animation: Meiji-hen']
animeCharacters	['Kousuke', 'Akari']
animeVoices	['Miyazaki, Yuu', 'Wakayama, Shion']
animeStaff	[['Sakamoto, Haruki', 'Episode Director, Storyboard'], ['Tokuyama, Tamami', 'Animation Director, Character Design']]
