animeTitle	Saiunkoku Monogatari Recaps
animeType	Special
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	1100
animeRank	
animePopularity	7248
animeDescription	Recaps of the first season of Saiunkoku Monogatari. Aired to bridge the time till the second season starts.
animeRelated	['Saiunkoku Monogatari']
animeCharacters	['Kou, Shuurei', 'Shi, Ryuuki', 'Shi, Seiran', 'Li, Kouyuu', 'Ran, Shuuei', 'Sa, Sakujun', 'Ran, Ryuuren', 'Rou, Ensei', 'Kou, Reishin', 'Kou, Houju']
animeVoices	[]
animeStaff	[['Yura, Kairi', 'Original Character Design']]
