animeTitle	Jankenman: Kaijuu Dai Kessen
animeType	OVA
animeNumEpisode	1
releaseDate	1992-07-23 00:00:00
endDate	
animeNumMembers	215
animeScore	
animeUsers	
animeRank	16353
animePopularity	15786
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Jankenman']
animeCharacters	['Osodashi Kamen']
animeVoices	[]
animeStaff	[['Tanaka, Hideyuki', 'Sound Director'], ['Habara, Nobuyoshi', 'Character Design']]
