animeTitle	Granblue Fantasy The Animation
animeType	TV
animeNumEpisode	13
releaseDate	2017-04-02 00:00:00
endDate	2017-06-25 00:00:00
animeNumMembers	163343
animeScore	6.66
animeUsers	57117
animeRank	5284
animePopularity	1087
animeDescription	"This is a world of the skies, where many islands drift in the sky. A boy named Gran and a talking winged lizard named Vyrn lived in Zinkenstill, an island which yields mysteries. One day, they come across a girl named Lyria. Lyria had escaped from the Erste Empire, a military government that is trying to rule over this world using powerful military prowess. In order to escape from the Empire, Gran and Lyria head out into the vast skies, holding the letter Gran's father left behind—which said, ""I will be waiting at Estalucia, Island of Stars.""

(Source: Aniplex of America)"
animeRelated	['Granblue Fantasy', 'Guraburu!', 'Granblue Fantasy The Animation: Kabocha no Lantern', 'Granblue Fantasy The Animation Season 2']
animeCharacters	['Alize, Katalina', 'Lyria', 'Gran', 'Vyrn', 'Rackam', 'Euclase, Io', 'Narmaya', 'Rosetta', 'Djeeta', 'Yuel']
animeVoices	['Sawashiro, Miyuki', 'Touyama, Nao', 'Ono, Yuuki', 'Kugimiya, Rie', 'Hirata, Hiroaki', 'Tamura, Yukari', 'Ichimichi, Mao', 'Tanaka, Rie', 'Kanemoto, Hisako', 'Ueda, Kana']
animeStaff	[['Kurata, Ayako', 'Co-Director'], ['Itou, Yuuki', 'Director'], ['Tanaka, Ryou', 'Sound Director'], ['Hayakawa, Youichi', 'Sound Director']]
