animeTitle	Nangoku Shounen Papuwa-kun
animeType	TV
animeNumEpisode	42
releaseDate	1992-10-10 00:00:00
endDate	1993-10-02 00:00:00
animeNumMembers	826
animeScore	6.18
animeUsers	136
animeRank	7785
animePopularity	11613
animeDescription	"Papuwa-kun is a young boy living a quiet life with his dog, Chappy, on a small island located somewhere in South Pacific, when Shintaro, who is being pursued by gangsters, invades their happy existence. 
Chappi takes Shintaro's precious Jewel, thereby making the two main characters lifelong rivals. Together they experience a series of bizarre adventures and situations. 

(Source: AnimeNfo)"
animeRelated	['Nangoku Shounen Papuwa-kun', 'Papuwa', 'Nangoku Shounen Papuwa-kun: Hoshi Kudaru Yoru ni Aimashou']
animeCharacters	['Papuwa', 'Itou', 'Chappy', 'Kotaro', 'Shintaro', 'Arashiyama', 'Miyagi, Touhoku', 'Magic', 'Hakata, Donta', 'Ninja Tottori']
animeVoices	['Tanaka, Mayumi', 'Genda, Tesshou', 'Masuoka, Hiroshi', 'Ootani, Ikue', 'Midorikawa, Hikaru', 'Shioya, Yoku', 'Hayami, Show']
animeStaff	[['Hosoda, Masahiro', 'Director'], ['Takagi, Jun', 'Director'], ['Shibata, Ami', 'Original Creator'], ['Kawai, Ken', 'Art Director']]
