animeTitle	Gundam Build Divers: Battlogue
animeType	ONA
animeNumEpisode	1
releaseDate	2020-11-13 00:00:00
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	733
animeRank	
animePopularity	9850
animeDescription	"It's the highlight of GBN's anniversary event, the ""Gunpla Battle One-Day Battle Royal""!

Participants are selected from the Divers who played most passionately this season, and they're fighting in machines randomly assigned mainly from those Gunpla ranked highest by all Divers in the Great Gunpla Ballot! Now the final round is about to begin, with the tough fighters who've won their respective blocks! There, an unpredictable, super special, never-seen-before Gunpla dream battle will... START!!!

(Source: AniDB)"
animeRelated	['Gundam Build Divers Re:Rise 2nd Season']
animeCharacters	['May', 'Kuga, Hiroto', 'Freddie', 'Torimachi, Kazami', 'Parviz', 'Ayame', 'Magee', 'Kujou, Kyouya', 'Hulun', 'Captain Zeon']
animeVoices	['Fuchigami, Mai', 'Kobayashi, Chiaki', 'Kakuma, Ai', 'Mizunaka, Masaaki', 'Minami, Mayu', 'Numakura, Manami', 'Murata, Taishi', 'Kasama, Jun', 'Murase, Michiyo', 'Hayami, Show']
animeStaff	[]
